Batting First,0
Chennai Super Kings,52
Mumbai Indians,45
Kolkata Knight Riders,35
Sunrisers Hyderabad,35
Rajasthan Royals,34
Delhi Daredevils,31
Royal Challengers Bangalore,26
Kings XI Punjab,21
Pune Warriors,9
Gujarat Lions,2
Rising Pune Supergiants,2
