Batting First,0
Chennai Super Kings,52
Mumbai Indians,45
Kolkata Knight Riders,35
Rajasthan Royals,34
Delhi Daredevils,29
Royal Challengers Bangalore,26
Kings XI Punjab,21
Sunrisers Hyderabad,21
Deccan Chargers,14
Pune Warriors,9
Delhi Capitals,2
Gujarat Lions,2
Rising Pune Supergiants,2
